"Industry","All categories: Occupation (full)","1 Managers, directors and senior officials","11 Corporate managers and directors","111 Chief Executives and Senior Officials","112 Production Managers and Directors","113 Functional Managers and Directors","115 Financial Institution Managers and Directors","116 Managers and Directors in Transport and Logistics","117 Senior Officers in Protective Services","118 Health and Social Services Managers and Directors","119 Managers and Directors in Retail and Wholesale","12 Other managers and proprietors","121 Managers and Proprietors in Agriculture Related Services","122 Managers and Proprietors in Hospitality and Leisure Services","124 Managers and Proprietors in Health and Care Services","125 Managers and Proprietors in Other Services","2 Professional occupations","21 Science, research, engineering and technology professionals","211 Natural and Social Science Professionals","212 Engineering Professionals","213 Information Technology and Telecommunications Professionals","214 Conservation and Environment Professionals","215 Research and Development Managers","22 Health professionals","221 Health Professionals","222 Therapy Professionals","223 Nursing and Midwifery Professionals","23 Teaching and educational professionals","231 Teaching and Educational Professionals","24 Business, media and public service professionals","241 Legal Professionals","242 Business, Research and Administrative Professionals","243 Architects, Town Planners and Surveyors","244 Welfare Professionals","245 Librarians and Related Professionals","246 Quality and Regulatory Professionals","247 Media Professionals","3 Associate professional and technical occupations","31 Science, engineering and technology associate professionals","311 Science, Engineering and Production Technicians","312 Draughtspersons and Related Architectural Technicians","313 Information Technology Technicians","32 Health and social care associate professionals","321 Health Associate Professionals","323 Welfare and Housing Associate Professionals","33 Protective service occupations","331 Protective Service Occupations","34 Culture, media and sports occupations","341 Artistic, Literary and Media Occupations","342 Design Occupations","344 Sports and Fitness Occupations","35 Business and public service associate professionals","351 Transport Associate Professionals","352 Legal Associate Professionals","353 Business, Finance and Related Associate Professionals","354 Sales, Marketing and Related Associate Professionals","355 Conservation and Environmental associate professionals","356 Public Services and Other Associate Professionals","4 Administrative and secretarial occupations","41 Administrative occupations","411 Administrative Occupations: Government and Related Organisations","412 Administrative Occupations: Finance","413 Administrative Occupations: Records","415 Other Administrative Occupations","416 Administrative Occupations: Office Managers and Supervisors","42 Secretarial and related occupations","421 Secretarial and Related Occupations","5 Skilled trades occupations","51 Skilled agricultural and related trades","511 Agricultural and Related Trades","52 Skilled metal, electrical and electronic trades","521 Metal Forming, Welding and Related Trades","522 Metal Machining, Fitting and Instrument Making Trades","523 Vehicle Trades","524 Electrical and Electronic Trades","525 Skilled Metal, Electrical and Electronic Trades Supervisors","53 Skilled construction and building trades","531 Construction and Building Trades","532 Building Finishing Trades","533 Construction and Building Trades Supervisors","54 Textiles, printing and other skilled trades","541 Textiles and Garments Trades","542 Printing Trades","543 Food Preparation and Hospitality Trades","544 Other Skilled Trades","6 Caring, leisure and other service occupations","61 Caring personal service occupations","612 Childcare and Related Personal Services","613 Animal Care and Control Services","614 Caring Personal Services","62 Leisure, travel and related personal service occupations","621 Leisure and Travel Services","622 Hairdressers and Related Services","623 Housekeeping and Related Services","624 Cleaning and Housekeeping Managers and Supervisors","7 Sales and customer service occupations","71 Sales occupations","711 Sales Assistants and Retail Cashiers","712 Sales Related Occupations","713 Sales Supervisors","72 Customer service occupations","721 Customer Service Occupations","722 Customer Service Managers and Supervisors","8 Process, plant and machine operatives","81 Process, plant and machine operatives","811 Process Operatives","812 Plant and Machine Operatives","813 Assemblers and Routine Operatives","814 Construction Operatives","82 Transport and mobile machine drivers and operatives","821 Road Transport Drivers","822 Mobile Machine Drivers and Operatives","823 Other Drivers and Transport Operatives","9 Elementary occupations","91 Elementary trades and related occupations","911 Elementary Agricultural Occupations","912 Elementary Construction Occupations","913 Elementary Process Plant Occupations","92 Elementary administration and service occupations","921 Elementary Administration Occupations","923 Elementary Cleaning Occupations","924 Elementary Security Occupations","925 Elementary Sales Occupations","926 Elementary Storage Occupations","927 Other Elementary Services Occupations"

"25.5 Forging, pressing, stamping and roll-forming of metal; powder metallurgy",7905,793,748,19,579,104,0,33,9,1,3,45,4,4,0,37,597,340,1,293,36,1,9,17,4,1,12,5,5,235,1,66,1,1,0,164,2,505,178,147,27,4,3,0,3,26,26,18,16,1,1,280,0,0,70,183,0,27,540,436,4,144,101,154,33,104,104,2945,31,31,2704,1154,1242,29,90,189,131,80,49,2,79,3,12,16,48,32,22,3,4,15,10,3,3,3,1,49,32,26,2,4,17,12,5,1771,1508,270,840,374,24,263,138,123,2,673,403,2,11,390,270,22,74,24,1,139,10
"25.6 Treatment and coating of metals; machining",98423,11594,11191,105,9779,977,8,267,3,15,37,403,9,54,8,332,7034,5241,85,4644,433,26,53,72,19,5,48,36,36,1685,4,602,130,20,1,902,26,4829,1795,1215,491,89,40,11,29,47,47,178,111,49,18,2769,3,6,773,1756,1,230,7563,5327,31,1622,540,2379,755,2236,2236,41295,468,468,36699,20629,13583,350,969,1168,2840,2173,581,86,1288,65,74,214,935,378,268,29,15,224,110,28,18,54,10,516,326,227,62,37,190,143,47,19312,16746,4292,10036,2173,245,2566,1928,592,46,5902,4163,50,197,3916,1739,248,339,80,20,964,88
"25.7 Manufacture of cutlery, tools and general hardware",17376,1925,1819,32,1448,243,3,66,0,2,25,106,2,14,2,88,912,644,4,521,101,1,17,12,6,0,6,1,1,255,2,142,2,2,0,102,5,1243,316,187,97,32,17,4,13,8,8,53,22,26,5,849,0,1,155,654,1,38,1618,1319,4,445,185,548,137,299,299,6584,65,65,5912,239,5332,37,124,180,363,273,87,3,244,25,9,41,169,98,48,5,3,40,50,9,13,19,9,374,223,197,17,9,151,113,38,3129,2821,191,1817,782,31,308,227,65,16,1493,813,20,29,764,680,50,120,40,4,422,44
"25.9 Manufacture of other fabricated metal products",29242,3640,3466,43,2689,523,6,177,2,6,20,174,5,19,4,146,1945,1260,19,1026,175,7,33,39,6,1,32,16,16,630,5,259,26,6,0,328,6,2415,829,658,107,64,17,4,13,11,11,150,51,91,8,1408,3,3,253,1031,0,118,2550,2130,15,626,369,895,225,420,420,7207,83,83,5795,1743,3225,69,353,405,546,407,123,16,783,26,208,80,469,199,101,11,3,87,98,5,73,14,6,319,163,132,24,7,156,106,50,7678,6675,787,4550,1178,160,1003,543,436,24,3289,2103,14,46,2043,1186,84,156,51,14,829,52
"26.1 Manufacture of electronic components and boards",30426,4097,3903,138,2716,853,6,158,0,3,29,194,1,14,2,177,5180,4108,63,3089,886,12,58,62,24,3,35,27,27,983,22,448,18,8,1,449,37,4635,1945,1663,101,181,32,10,22,11,11,175,93,73,9,2472,4,15,335,1912,1,205,2391,1976,14,571,508,744,139,415,415,3228,60,60,2716,124,733,55,1178,626,221,176,39,6,231,13,150,26,42,158,110,27,4,79,48,6,18,18,6,471,187,139,39,9,284,195,89,7978,7677,486,940,6189,62,301,236,46,19,2288,1141,7,22,1112,1147,73,203,55,5,756,55
"26.2 Manufacture of computers and peripheral equipment",14115,2404,2266,53,1531,519,4,80,1,2,76,138,0,10,3,125,3827,3185,28,846,2290,3,18,46,18,4,24,14,14,582,21,405,45,3,4,78,26,3011,905,309,17,579,17,10,7,17,17,177,80,91,6,1895,0,9,223,1540,1,122,1175,870,8,276,181,323,82,305,305,1232,21,21,942,17,138,10,657,120,68,49,16,3,201,13,113,24,51,53,34,7,2,25,19,8,8,1,2,430,217,189,24,4,213,140,73,1171,1067,107,225,718,17,104,77,26,1,812,295,4,4,287,517,41,91,36,4,308,37
"26.3 Manufacture of communication equipment",24131,3574,3362,77,2199,743,8,145,6,8,176,212,1,13,2,196,5033,4235,28,2411,1730,9,57,47,14,7,26,17,17,734,20,418,60,9,0,193,34,3328,1008,721,89,198,18,6,12,85,85,227,135,83,9,1990,4,5,277,1547,0,157,2318,1884,11,524,302,849,198,434,434,4230,38,38,3913,90,347,43,3216,217,198,139,56,3,81,7,23,34,17,112,71,16,2,53,41,7,8,21,5,1613,645,585,53,7,968,867,101,2637,2466,134,549,1735,48,171,125,37,9,1286,443,5,16,422,843,51,134,223,8,407,20
"26.4 Manufacture of consumer electronics",8773,1718,1624,53,990,483,1,60,0,4,33,94,0,8,2,84,1855,1407,58,780,498,3,68,22,10,2,10,6,6,420,25,247,13,4,5,65,61,1977,354,238,31,85,11,5,6,1,1,252,156,90,6,1359,1,6,193,1064,0,95,724,584,3,196,111,223,51,140,140,793,15,15,621,28,113,8,368,104,88,61,25,2,69,4,6,15,44,69,53,3,0,50,16,3,3,10,0,279,148,112,29,7,131,86,45,907,849,45,141,646,17,58,43,12,3,451,220,1,6,213,231,20,60,16,4,117,14
"26.5 Manufacture of instruments and appliances for measuring, testing and navigation; watches and clocks",31491,4241,4034,86,2958,806,3,137,7,10,27,207,6,15,2,184,7909,6694,260,4204,2105,14,111,62,30,7,25,32,32,1121,10,635,19,11,3,412,31,5337,2348,1882,188,278,20,10,10,41,41,232,133,89,10,2696,12,14,355,2106,3,206,2903,2420,19,619,565,978,239,483,483,4224,87,87,3635,129,1777,63,1324,342,314,242,60,12,188,17,30,40,101,136,87,10,1,76,49,12,19,14,4,573,203,127,64,12,370,259,111,4547,4321,240,949,3073,59,226,174,35,17,1621,595,9,25,561,1026,60,216,56,7,637,50
"26.6 Manufacture of irradiation, electromedical and electrotherapeutic equipment",3310,381,361,12,253,67,0,16,1,6,6,20,0,2,0,18,641,419,26,267,121,0,5,144,116,1,27,3,3,75,0,42,1,1,0,29,2,734,336,277,22,37,85,84,1,2,2,29,9,19,1,282,0,0,36,207,0,39,424,278,4,74,68,118,14,146,146,373,7,7,317,32,92,5,136,52,24,20,4,0,25,2,1,10,12,46,38,4,1,33,8,2,4,1,1,120,45,43,2,0,75,59,16,393,373,53,90,226,4,20,15,3,2,198,76,0,3,73,122,19,16,6,3,75,3
"26.7 Manufacture of optical instruments and photographic equipment",3422,458,434,13,317,77,0,24,0,0,3,24,1,10,0,13,558,434,29,317,81,2,5,18,10,3,5,2,2,104,3,51,2,1,0,37,10,576,227,201,9,17,7,4,3,3,3,53,37,14,2,286,0,0,42,229,0,15,323,269,1,70,68,110,20,54,54,577,9,9,402,8,228,2,114,50,29,24,5,0,137,1,7,8,121,23,19,1,2,16,4,2,2,0,0,114,51,44,3,4,63,44,19,568,539,101,110,322,6,29,19,8,2,225,98,0,4,94,127,6,21,6,2,85,7
"26.8 Manufacture of magnetic and optical media",344,73,67,3,43,17,0,2,1,0,1,6,0,0,0,6,37,26,2,16,8,0,0,1,1,0,0,0,0,10,1,5,0,0,0,2,2,54,8,5,0,3,0,0,0,0,0,21,13,8,0,25,0,0,5,20,0,0,22,20,0,5,5,10,0,2,2,29,1,1,17,0,10,0,3,4,1,0,1,0,10,1,8,0,1,5,2,1,0,1,3,1,1,1,0,11,2,1,1,0,9,8,1,61,58,5,30,22,1,3,3,0,0,52,29,0,2,27,23,3,3,2,0,12,3
"27.1 Manufacture of electric motors, generators, transformers and electricity distribution and control apparatus; 27.2 Manufacture of batteries and accumulators",22982,2549,2415,44,1764,455,2,132,2,5,11,134,1,14,0,119,3578,2919,22,2447,405,12,33,50,21,0,29,11,11,598,3,311,11,4,0,263,6,2972,1193,863,248,82,19,10,9,14,14,89,43,41,5,1657,3,4,228,1291,0,131,1814,1491,15,408,361,569,138,323,323,4556,43,43,4075,367,1162,91,1964,491,276,208,60,8,162,15,10,57,80,125,76,8,2,66,49,7,16,19,7,264,106,76,19,11,158,109,49,5380,5040,292,1278,3425,45,340,208,124,8,1744,1014,5,23,986,730,34,146,32,8,470,40
"27.3 Manufacture of wiring and wiring devices",8960,948,905,21,626,178,2,68,2,0,8,43,1,2,1,39,913,688,13,564,95,3,13,9,3,1,5,2,2,214,1,100,3,1,0,108,1,1096,448,376,28,44,2,1,1,6,6,28,16,10,2,612,4,0,80,465,0,63,681,606,3,182,147,230,44,75,75,1189,14,14,1040,41,340,9,486,164,88,70,16,2,47,6,11,11,19,50,34,3,2,29,16,1,5,6,4,115,46,36,6,4,69,54,15,3008,2805,347,1116,1315,27,203,135,60,8,960,551,4,22,525,409,15,70,16,2,293,13
"27.4 Manufacture of electric lighting equipment",14221,1939,1850,24,1304,389,0,110,0,1,22,89,0,9,0,80,1195,903,5,756,97,1,44,10,4,1,5,15,15,267,1,161,15,1,1,80,8,2176,371,274,51,46,17,6,11,3,3,512,359,150,3,1273,0,0,196,1035,0,42,1390,1163,4,324,212,482,141,227,227,2100,26,26,1454,209,390,23,554,278,150,101,45,4,470,13,25,23,409,96,67,9,3,55,29,3,5,16,5,326,167,145,12,10,159,115,44,3258,2896,162,518,2116,100,362,243,113,6,1741,936,7,28,901,805,37,74,25,6,636,27
"27.5 Manufacture of domestic appliances",16710,1543,1460,24,953,320,2,123,1,5,32,83,2,7,2,72,1559,1144,7,877,218,8,34,17,5,0,12,8,8,390,7,208,15,0,0,140,20,2172,531,401,43,87,36,26,10,13,13,120,44,71,5,1472,0,2,183,1124,1,162,1577,1343,5,376,318,543,101,234,234,2981,41,41,2219,479,667,20,926,127,548,504,44,0,173,9,16,69,79,95,59,4,5,50,36,5,12,16,3,995,241,195,34,12,754,643,111,3518,3007,530,696,1763,18,511,329,173,9,2270,1279,4,29,1246,991,40,197,56,11,630,57
"27.9 Manufacture of other electrical equipment",6224,753,720,18,510,157,0,31,0,1,3,33,0,4,0,29,970,807,21,594,172,2,18,5,3,0,2,5,5,153,4,77,5,1,0,57,9,834,349,292,27,30,8,4,4,8,8,48,22,24,2,421,2,1,48,340,0,30,567,489,2,124,106,199,58,78,78,1126,12,12,956,48,237,6,533,132,54,44,10,0,104,5,9,16,74,34,26,5,0,21,8,0,1,6,1,80,33,28,1,4,47,33,14,1537,1468,89,352,994,33,69,46,18,5,323,103,1,8,94,220,8,22,11,3,170,6
"28.1 Manufacture of general-purpose machinery",43137,4330,4087,71,2930,844,11,179,6,15,31,243,4,26,3,210,7118,5535,36,4699,700,35,65,77,34,6,37,16,16,1490,18,632,24,8,4,790,14,5730,2199,1769,233,197,23,9,14,26,26,173,112,46,15,3309,5,10,462,2537,2,293,3458,2937,16,849,848,1038,186,521,521,9595,126,126,8633,514,6426,315,613,765,532,380,134,18,304,19,27,70,188,171,109,15,5,89,62,10,27,21,4,676,291,213,52,26,385,237,148,9233,8390,429,4667,3184,110,843,476,340,27,2826,1437,16,42,1379,1389,90,144,66,12,1026,51
"28.2 Manufacture of other general-purpose machinery",57379,7033,6646,117,4863,1270,8,323,7,7,51,387,9,31,6,341,6231,4883,56,3963,738,20,106,65,21,3,41,23,23,1260,18,702,66,11,3,442,18,7243,2046,1351,453,242,45,12,33,66,66,227,114,99,14,4859,11,7,670,3854,6,311,6238,5217,39,1539,1018,2147,474,1021,1021,14090,157,157,12240,2447,7289,165,1417,922,1051,819,198,34,642,42,105,126,369,271,170,21,8,141,101,37,26,32,6,1798,1088,405,621,62,710,518,192,9720,8045,602,4295,3000,148,1675,1057,551,67,4755,2312,21,82,2209,2443,154,393,122,13,1662,99
"28.3 Manufacture of agricultural and forestry machinery",6980,631,587,12,404,117,0,46,1,1,6,44,7,3,1,33,664,481,7,374,89,2,9,11,3,2,6,6,6,166,6,90,2,0,1,58,9,736,185,136,30,19,2,2,0,4,4,27,17,9,1,518,0,0,75,398,2,43,619,507,1,152,121,191,42,112,112,1926,87,87,1608,485,894,51,71,107,140,96,36,8,91,7,1,15,68,30,15,1,3,11,15,1,8,5,1,177,127,64,21,42,50,29,21,1472,1190,88,382,701,19,282,106,173,3,725,360,45,10,305,365,16,57,21,1,266,4
"28.4 Manufacture of metal forming machinery and machine tools",9467,1113,1056,13,863,138,0,35,0,0,7,57,2,9,2,44,996,830,5,688,129,0,8,9,2,0,7,6,6,151,2,82,1,0,0,63,3,923,286,211,60,15,4,1,3,5,5,70,53,15,2,558,0,2,56,470,2,28,767,588,7,182,87,253,59,179,179,3308,45,45,2905,194,2438,15,161,97,201,143,54,4,157,11,7,26,113,35,27,3,1,23,8,1,7,0,0,129,68,43,17,8,61,43,18,1710,1528,62,1197,252,17,182,142,34,6,486,205,21,8,176,281,25,75,3,1,163,14
"28.9 Manufacture of other special-purpose machinery",26867,3316,3130,70,2347,553,2,134,1,3,20,186,2,19,5,160,3320,2569,27,2105,380,5,52,33,15,1,17,20,20,698,11,392,28,6,1,247,13,3218,1124,797,232,95,14,5,9,4,4,151,82,59,10,1925,3,2,272,1486,2,160,2615,2152,13,634,466,837,202,463,463,7072,140,140,5962,1394,3556,78,555,379,437,314,108,15,533,61,108,130,234,126,83,17,7,59,43,12,11,13,7,528,284,180,81,23,244,170,74,4849,4167,505,1899,1692,71,682,369,302,11,1823,795,19,35,741,1028,65,216,50,13,623,61
"29.1 Manufacture of motor vehicles",97067,7330,6739,89,4545,1444,21,498,17,12,113,591,10,37,7,537,13208,10076,60,8148,1719,51,98,170,60,11,99,76,76,2886,64,1112,43,17,13,1517,120,8620,3011,2318,240,453,102,50,52,134,134,425,235,133,57,4948,6,14,1194,2824,2,908,5464,4626,49,1083,1672,1551,271,838,838,23535,272,272,20438,2137,9361,6428,1592,920,1307,907,378,22,1518,429,57,183,849,480,311,29,15,267,169,74,22,58,15,1514,727,532,97,98,787,448,339,29860,25378,602,4266,20232,278,4482,2510,1769,203,7056,4022,26,91,3905,3034,169,633,457,32,1606,137
"29.2 Manufacture of bodies (coachwork) for motor vehicles; manufacture of trailers and semi-trailers",11450,1093,944,15,666,188,0,49,2,1,23,149,2,62,3,82,525,384,1,317,49,2,15,7,4,0,3,1,1,133,2,76,0,3,0,49,3,686,191,112,59,20,3,1,2,4,4,33,11,20,2,455,0,3,44,373,0,35,820,655,6,211,98,267,73,165,165,5107,70,70,3683,912,737,1600,239,195,967,845,109,13,387,46,7,40,294,62,32,4,4,24,30,3,8,18,1,167,88,67,8,13,79,45,34,1919,1568,170,563,800,35,351,147,192,12,1071,597,13,37,547,474,20,140,43,0,252,19
"29.3 Manufacture of parts and accessories for motor vehicles",54358,4092,3793,66,2572,664,4,353,4,6,124,299,4,15,5,275,4097,2622,23,2178,362,16,43,84,20,4,60,23,23,1368,5,496,8,6,0,845,8,3521,1518,1319,68,131,21,6,15,22,22,149,93,41,15,1811,1,1,321,1254,2,232,2910,2561,18,798,878,725,142,349,349,9750,125,125,8446,1967,4579,550,445,905,544,393,128,23,635,250,46,82,257,275,190,20,1,169,85,14,19,39,13,1295,1069,844,66,159,226,177,49,19883,16197,1234,8160,6638,165,3686,2471,1187,28,8535,4872,28,104,4740,3663,176,474,158,30,2724,101
"30.1 Building of ships and boats",25854,2009,1797,23,1288,345,7,100,19,6,9,212,3,27,1,181,3336,2537,38,2132,287,8,72,52,20,6,26,21,21,726,13,225,77,5,3,392,11,2033,850,485,300,65,21,6,15,64,64,93,51,32,10,1005,146,1,250,360,0,248,1503,1174,16,298,352,403,105,329,329,13080,152,152,10387,1726,1033,6165,981,482,2201,1757,400,44,340,82,19,71,168,121,87,10,3,74,34,8,11,10,5,151,95,67,21,7,56,32,24,2217,1487,343,459,468,217,730,184,181,365,1404,485,13,74,398,919,36,209,125,5,501,43
"30.2 Manufacture of railway locomotives and rolling stock",4694,420,394,4,263,98,3,23,1,0,2,26,0,5,0,21,825,628,1,527,85,5,10,9,4,2,3,8,8,180,8,73,9,1,4,81,4,528,181,153,13,15,4,1,3,3,3,16,10,6,0,324,1,2,62,132,0,127,292,241,1,56,102,66,16,51,51,1367,19,19,1188,168,435,369,139,77,104,79,19,6,56,5,2,9,40,28,15,1,1,13,13,5,4,1,3,31,17,14,3,0,14,8,6,938,759,45,248,441,25,179,41,36,102,265,107,0,9,98,158,10,27,6,1,109,5
"30.3 Manufacture of air and spacecraft and related machinery",100264,8461,7908,179,4979,2208,20,414,50,16,42,553,6,32,3,512,25650,20468,196,16482,3589,59,142,256,116,12,128,74,74,4852,65,1976,112,30,31,2560,78,13162,6155,5354,349,452,82,25,57,573,573,691,515,147,29,5661,231,36,1377,2809,3,1205,6249,4946,85,1039,2094,1455,273,1303,1303,26254,299,299,23743,1912,7874,10610,1481,1866,1195,854,319,22,1017,153,69,158,637,355,206,37,8,161,149,73,32,31,13,845,287,182,79,26,558,358,200,15026,13868,1288,6934,5510,136,1158,679,310,169,4262,1735,17,69,1649,2527,149,442,306,21,1497,112
"30.4 Manufacture of military fighting vehicles",429,42,41,1,29,7,0,2,1,1,0,1,0,0,0,1,85,69,0,60,8,0,1,4,2,0,2,0,0,12,0,3,1,0,0,6,2,52,27,24,3,0,0,0,0,5,5,2,0,2,0,18,2,0,1,11,0,4,26,20,0,6,2,11,1,6,6,135,0,0,124,40,55,16,3,10,7,6,0,1,4,0,0,1,3,0,0,0,0,0,0,0,0,0,0,3,3,2,1,0,0,0,0,59,50,9,18,21,2,9,6,3,0,27,15,1,1,13,12,2,1,1,0,6,2
"30.9 Manufacture of transport equipment n.e.c.",3130,380,354,6,262,63,0,13,0,0,10,26,0,1,1,24,426,341,4,286,45,0,6,4,0,2,2,1,1,80,0,48,3,0,0,25,4,352,84,63,9,12,6,4,2,1,1,29,6,18,5,232,0,0,19,201,0,12,303,248,2,77,35,106,28,55,55,626,13,13,521,129,225,86,25,56,39,27,12,0,53,17,1,6,29,25,19,5,5,9,6,1,1,4,0,106,52,42,6,4,54,39,15,618,558,34,212,306,6,60,45,11,4,294,124,0,9,115,170,7,31,10,1,117,4
"31 Manufacture of furniture",80839,8849,8360,97,6162,1198,14,615,2,12,260,489,7,59,8,415,2496,1490,12,964,357,10,147,56,15,3,38,27,27,923,5,494,146,9,5,229,35,6316,1024,511,364,149,38,16,22,31,31,1820,142,1657,21,3403,3,11,522,2639,0,228,6284,5074,18,1516,781,2232,527,1210,1210,30416,341,341,3668,776,1808,134,440,510,6277,4847,1362,68,20130,7040,119,255,12716,381,268,29,14,225,113,18,31,54,10,1782,1052,799,184,69,730,556,174,15178,11671,761,5379,5336,195,3507,2644,783,80,9137,4871,120,441,4310,4266,261,630,134,34,2878,329
"32.1 Manufacture of jewellery, bijouterie and related articles",9105,1029,877,10,668,86,0,31,0,0,82,152,0,9,1,142,383,239,15,168,45,2,9,15,4,1,10,11,11,118,0,56,2,3,4,18,35,1247,99,59,28,12,7,6,1,6,6,767,96,668,3,368,0,0,53,292,0,23,774,633,33,148,92,293,67,141,141,3682,36,36,431,44,273,6,51,57,137,99,37,1,3078,14,17,20,3027,50,35,9,0,26,15,3,4,7,1,629,546,439,93,14,83,69,14,817,726,133,363,223,7,91,51,37,3,494,229,1,5,223,265,37,73,28,4,103,20
"32.2 Manufacture of musical instruments",1900,215,186,4,137,28,0,10,0,0,7,29,0,1,0,28,106,44,0,25,13,1,5,2,0,1,1,45,45,15,0,9,0,0,2,0,4,250,26,20,2,4,0,0,0,1,1,101,88,13,0,122,0,0,8,108,0,6,139,100,1,28,8,56,7,39,39,921,14,14,121,24,70,4,19,4,41,32,6,3,745,1,3,5,736,4,2,1,0,1,2,0,0,0,2,51,46,36,8,2,5,3,2,112,91,17,35,35,4,21,19,0,2,102,49,2,2,45,53,5,16,3,2,26,1
"32.3 Manufacture of sports goods",5820,1028,879,14,627,129,1,52,3,1,52,149,1,23,0,125,262,158,0,95,43,1,19,6,2,0,4,4,4,94,4,60,7,0,0,14,9,986,104,67,19,18,5,1,4,5,5,256,38,111,107,616,0,0,74,505,1,36,661,548,5,161,84,245,53,113,113,868,24,24,312,95,143,12,38,24,151,131,18,2,381,36,19,21,305,94,40,6,11,23,54,43,0,10,1,555,429,406,13,10,126,96,30,608,512,77,184,230,21,96,70,22,4,758,355,12,17,326,403,18,42,20,5,286,32
"32.4 Manufacture of games and toys",6972,1100,976,24,684,181,7,51,0,2,27,124,0,46,1,77,675,465,2,161,275,1,26,10,2,0,8,5,5,195,12,97,4,1,3,33,45,1318,172,94,12,66,12,3,9,5,5,531,215,310,6,598,1,2,64,496,1,34,771,619,3,198,91,264,63,152,152,1256,17,17,430,20,171,9,210,20,366,324,41,1,443,20,21,22,380,91,43,18,4,21,48,37,4,7,0,383,251,129,117,5,132,108,24,659,585,60,190,317,18,74,56,15,3,719,334,6,9,319,385,20,57,15,4,221,68
"32.5 Manufacture of medical and dental instruments and supplies",42200,5117,4786,200,3123,1110,10,187,2,98,56,331,2,21,34,274,5770,3293,494,1868,712,16,203,707,541,12,154,49,49,1721,33,734,11,14,4,892,33,11700,2705,2417,64,224,4268,4236,32,30,30,304,139,147,18,4393,2,34,408,3522,0,427,4011,3205,18,782,674,1392,339,806,806,4531,68,68,3049,240,1726,36,665,382,300,212,79,9,1114,140,27,62,885,493,412,38,5,369,81,16,24,24,17,1236,406,336,51,19,830,642,188,5970,5044,1012,1366,2603,63,926,808,98,20,3372,1707,15,42,1650,1665,152,335,79,15,1015,69
"32.9 Other manufacturing n.e.c.",14409,2460,2313,36,1847,306,3,79,14,6,22,147,4,7,2,134,933,548,24,362,129,4,29,42,23,2,17,19,19,324,6,237,7,4,0,62,8,1759,386,292,61,33,28,17,11,36,36,253,100,147,6,1056,2,1,159,823,0,71,1481,1179,11,337,160,496,175,302,302,3103,40,40,1059,200,536,25,185,113,462,384,75,3,1542,142,81,29,1290,228,172,11,45,116,56,8,39,7,2,301,165,137,22,6,136,98,38,2355,2047,392,759,811,85,308,199,103,6,1789,1081,26,35,1020,708,52,149,25,6,441,35
"Manufacturing not otherwise specified",158575,24523,23219,520,16950,4406,61,1030,11,42,199,1304,43,108,17,1136,15940,10480,631,6739,2720,96,294,339,129,23,187,199,199,4922,138,3024,145,33,17,1448,117,21726,5680,4381,472,827,149,69,80,116,116,1362,479,841,42,14419,16,48,1931,10993,5,1426,14213,11500,81,3345,2244,4693,1137,2713,2713,23175,466,466,15376,2753,8188,288,2243,1904,3217,2702,443,72,4116,458,486,527,2645,1040,748,180,31,537,292,47,97,102,46,2817,1206,868,256,82,1611,1178,433,33615,29268,10628,8969,9048,623,4347,2295,1962,90,21526,14110,147,464,13499,7416,557,1501,526,72,4327,433
"33.1 Repair of fabricated metal products, machinery and equipment",85019,7035,6316,50,4998,753,6,367,61,25,56,719,28,72,3,616,6430,4952,40,4432,433,16,31,113,57,9,47,35,35,1330,11,729,72,14,18,470,16,8563,4576,4237,109,230,189,160,29,626,626,231,169,37,25,2941,112,10,602,1611,4,602,6097,4951,175,1108,1029,2181,458,1146,1146,44137,656,656,39478,1799,15757,13123,8122,677,3089,2225,635,229,914,144,64,210,496,380,203,39,15,149,177,67,31,54,25,1335,689,329,284,76,646,491,155,7470,5581,326,2838,1336,1081,1889,853,416,620,3572,1189,72,321,796,2383,243,586,246,26,1184,98
"33.2 Installation of industrial machinery and equipment",8418,945,737,13,371,272,2,55,0,2,22,208,3,9,3,193,1594,1152,4,708,425,6,9,18,7,0,11,3,3,421,6,345,27,0,0,40,3,1046,344,254,37,53,44,37,7,15,15,66,59,6,1,577,1,5,128,389,1,53,721,574,4,148,73,271,78,147,147,2828,32,32,2460,170,1057,56,1111,66,287,237,28,22,49,3,7,17,22,38,25,8,0,17,13,4,3,2,4,93,40,21,15,4,53,39,14,906,763,44,482,155,82,143,119,16,8,247,87,4,24,59,160,20,25,9,1,90,15
"D Electricity, gas, steam and air conditioning supply",151733,13831,12608,196,9507,2232,73,365,17,44,174,1223,19,77,16,1111,27696,18274,499,12644,4374,632,125,404,155,28,221,206,206,8812,374,6396,660,50,16,1057,259,22679,7000,4885,455,1660,423,47,376,258,258,557,381,125,51,14441,67,164,4902,5993,39,3276,14817,12633,167,2766,1710,7009,981,2184,2184,28968,471,471,17576,619,3647,207,11907,1196,10430,9608,359,463,491,48,49,213,181,787,463,101,16,346,324,151,62,74,37,25731,6932,2371,4477,84,18799,17045,1754,11325,8638,1537,4818,925,1358,2687,2094,455,138,5899,2032,164,549,1319,3867,463,736,953,25,1463,227
